Investigator,Alberto,Time (s),Electrode,Size (spikes),Duration (s)
,,00526.324240,C5_14,34,0.15784
,,00526.333760,C5_12,15,0.16192
,,00526.291040,C5_13,5,0.18728
,,00526.305040,C5_11,24,0.3148
,,00526.258240,C5_33,27,0.23728
,,00526.316480,C5_23,40,0.20984
,,00526.288320,C5_34,42,0.1852
,,00526.173040,C5_24,38,0.432
,,00526.211280,C5_42,72,0.34072
,,00526.300320,C5_43,13,0.15232
,,00526.317520,C5_32,15,0.16328
,,00526.288880,C5_44,39,0.21104
,,00526.246080,C5_41,56,0.2704
,,00526.361920,C5_31,7,0.1404
,,00526.524560,D1_11,8,0.1572
,,00526.410000,D1_12,12,0.27208
,,00526.592400,A5_34,15,0.25152
,,00526.656240,A5_44,28,0.21896
,,00526.678480,A5_31,19,0.18568
,,00526.728480,A5_22,28,0.142
,,00526.567520,A5_14,60,0.44912
,,00526.661600,A5_12,39,0.24272
,,00526.682480,A5_13,60,0.28192
,,00526.685840,A5_11,40,0.26696
,,00526.716720,A5_33,21,0.33352
,,00526.707440,A5_23,48,0.20808
,,00526.701520,A5_24,24,0.20768
,,00526.725200,A5_42,38,0.1952
,,00526.573680,A5_43,56,0.3276
,,00526.686480,A5_32,47,0.22704
,,00526.695520,A5_21,16,0.24608
,,00526.690080,A5_41,57,0.25352
,,00526.887840,C6_11,7,0.1504
,,00526.826720,C6_33,7,0.19936
,,00526.842560,C6_42,8,0.15056
,,00526.892400,C6_43,6,0.12088
,,00526.960000,C6_32,8,0.08768
,,00526.869520,C6_44,6,0.22488
,,00526.683200,C6_41,23,0.37552
,,00526.878320,C6_31,5,0.11672
,,00526.823520,C6_22,13,0.186
,,00527.064800,C5_34,8,0.12752
,,00526.863360,C6_21,9,0.31056
,,00527.039200,A4_12,20,0.86128
,,00528.016480,A4_12,8,0.23744
,,00528.353360,A4_23,7,0.34904
,,00530.115360,A4_12,10,0.5676
,,00530.627600,D4_32,11,0.22512
,,00530.845840,A5_12,8,0.36968
,,00531.378000,D3_41,17,0.21128
,,00531.974560,A4_41,5,0.27336
,,00532.444960,D2_41,17,0.2368
,,00532.533600,D2_31,16,0.1428
,,00532.372560,D2_11,20,0.30232
,,00532.483360,D2_12,10,0.16872
,,00532.482640,D2_22,22,0.21944
,,00532.503200,D2_23,27,0.18392
,,00532.538320,D2_14,10,0.11344
,,00532.508240,D2_24,15,0.1576
,,00532.512960,D2_34,9,0.18176
,,00532.485360,D2_43,35,0.2828
,,00532.439520,D2_44,33,0.24096
,,00532.510160,D2_42,35,0.18664
,,00533.380160,C2_41,61,0.47448
,,00533.574240,C2_21,58,0.29696
,,00533.617280,C2_31,35,0.2212
,,00533.662960,C2_11,17,0.20256
,,00533.672960,C2_12,7,0.07864
,,00533.569120,C2_22,18,0.21528
,,00533.522240,C2_23,18,0.3772
,,00533.660000,C2_33,17,0.11072
,,00533.667440,C2_24,5,0.0796
,,00533.593680,C2_34,28,0.2672
,,00533.647200,C2_32,21,0.15088
,,00533.453280,C2_43,26,0.4052
,,00533.533360,C2_44,29,0.31096
,,00533.548240,C2_42,37,0.2872
,,00533.439040,C2_14,54,0.57984
,,00534.040960,D6_43,16,0.20736
,,00534.074160,D6_22,7,0.19216
,,00534.489840,A3_41,14,0.13728
,,00534.515520,A3_23,14,0.13352
,,00534.531360,A3_24,9,0.09936
,,00534.449840,A3_44,10,0.16712
,,00534.528720,A3_42,16,0.09928
,,00534.475920,D2_44,24,0.41632
,,00534.417920,A3_31,22,0.28224
,,00534.496640,A3_11,23,0.15784
,,00534.565440,A3_12,8,0.0912
,,00534.540480,A3_13,19,0.12608
,,00534.544640,A3_22,7,0.12144
,,00534.514880,A3_34,19,0.14288
,,00534.322400,A3_32,26,0.38728
,,00534.418400,A3_43,31,0.30032
,,00534.932080,B6_14,17,0.1568
,,00534.878640,B6_12,19,0.16792
,,00534.929120,B6_13,18,0.14432
,,00534.889120,B6_11,13,0.2164
,,00534.867040,B6_33,25,0.21056
,,00534.847600,B6_23,31,0.28504
,,00534.862240,B6_34,30,0.25344
,,00534.825680,B6_24,23,0.26672
,,00534.831440,B6_43,43,0.28672
,,00534.916640,B6_32,27,0.21224
,,00534.801200,B6_44,40,0.28984
,,00534.902800,B6_22,38,0.22632
,,00535.200640,D4_11,10,0.1952
,,00534.852880,B6_42,46,0.37032
,,00534.790720,B6_21,46,0.4256
,,00534.772880,B6_41,71,0.62352
,,00534.815120,B6_31,44,0.42896
,,00535.171040,D2_24,8,0.40616
,,00535.314640,D4_13,5,0.18616
,,00535.076960,D4_42,9,0.32512
,,00534.990720,D4_32,32,0.4652
,,00535.236240,D4_21,14,0.20504
,,00535.222480,D4_31,12,0.19408
,,00535.773360,A6_23,5,0.10952
,,00535.936400,D1_41,13,0.13104
,,00535.952400,D1_21,5,0.1156
,,00535.987600,D1_31,6,0.08464
,,00535.903920,D1_11,12,0.18272
,,00535.868800,D1_12,19,0.2376
,,00536.014880,A1_24,5,0.1184
,,00535.891680,C2_12,7,0.20824
,,00535.747520,C2_14,11,0.36856
,,00535.765600,A6_12,21,0.19048
,,00535.834160,A6_13,9,0.14848
,,00535.816800,A6_11,11,0.14576
,,00535.854880,A6_33,8,0.07136
,,00535.728800,A6_24,31,0.24424
,,00535.775280,A6_42,20,0.1356
,,00535.753120,A6_43,17,0.25816
,,00535.815840,A6_44,12,0.13984
,,00535.828640,A6_21,9,0.10824
,,00535.831360,A6_41,15,0.10944
,,00535.764240,A6_22,9,0.1752
,,00536.041200,A1_41,14,0.21048
,,00536.050960,A1_21,10,0.20888
,,00535.858800,C2_11,5,0.30208
,,00536.452160,D2_44,6,0.10648
,,00536.605920,A3_11,8,0.1384
,,00536.593280,A4_42,5,0.27776
,,00536.545920,A4_43,10,0.13528
,,00536.908960,A3_11,11,0.18504
,,00536.768560,B6_31,8,0.3424
,,00537.244480,A3_11,6,0.16968
,,00537.547040,A3_11,13,0.32832
,,00537.229840,B6_31,17,0.59616
,,00538.003840,A3_11,7,0.14208
,,00537.924560,D5_14,7,0.05136
,,00537.864560,D5_13,7,0.11152
,,00537.873920,D5_33,14,0.14176
,,00537.897840,D5_34,8,0.062
,,00537.857600,D5_24,20,0.15584
,,00537.842480,D5_42,21,0.14104
,,00537.899200,D5_43,11,0.09
,,00537.875360,D5_44,13,0.1196
,,00537.902800,D5_22,7,0.0732
,,00538.078080,D3_41,48,0.24208
,,00538.156880,D3_21,22,0.16088
,,00538.079280,D3_31,30,0.2828
,,00538.122880,D3_11,20,0.18648
,,00538.144560,D3_12,37,0.20688
,,00538.130960,D3_13,12,0.16864
,,00538.214000,D3_23,7,0.08184
,,00538.215440,D3_14,5,0.01824
,,00538.203200,D3_33,8,0.0636
,,00538.026960,D3_34,24,0.30272
,,00538.173600,D3_32,21,0.15064
,,00538.197360,D3_43,13,0.0816
,,00538.194480,D3_44,17,0.1084
,,00538.099200,D3_42,24,0.23016
,,00538.475440,A3_11,6,0.13
,,00539.504000,A3_11,5,0.09376
,,00539.493840,A4_11,10,0.09184
,,00539.696880,A4_11,11,0.09672
,,00539.547760,A4_43,21,0.34808
,,00539.523760,A4_31,13,0.25544
,,00539.690800,A4_44,6,0.23224
,,00540.458400,D6_43,6,0.15144
,,00540.465200,D6_22,5,0.21616
,,00540.771440,C2_14,5,0.1428
,,00542.311760,D5_13,7,0.076
,,00542.330960,D5_22,7,0.05648
,,00542.281440,D5_33,14,0.18064
,,00542.261840,D5_24,18,0.15608
,,00542.294800,D5_42,16,0.1404
,,00542.330960,D5_43,9,0.17176
,,00542.289280,D5_44,9,0.1224
,,00545.032960,A3_32,6,0.0492
,,00544.996800,A3_43,5,0.06472
,,00545.107600,A1_41,51,0.28208
,,00545.109120,A1_11,8,0.19176
,,00544.967200,A1_12,25,0.36336
,,00545.201440,A1_13,6,0.1376
,,00545.182320,A1_22,11,0.17376
,,00545.204320,A1_23,15,0.13664
,,00545.158880,A1_14,29,0.17912
,,00545.094400,A1_24,24,0.24712
,,00545.191760,A1_32,11,0.14016
,,00545.129600,A1_43,24,0.21944
,,00545.193040,A1_42,35,0.1832
,,00545.076000,A1_21,49,0.32544
,,00545.211040,A1_33,32,0.19672
,,00545.267600,A3_41,22,0.23664
,,00545.330560,A3_31,14,0.16664
,,00545.220720,A3_11,34,0.29264
,,00545.345600,A3_12,8,0.132
,,00545.312160,A3_13,21,0.21888
,,00545.322800,A3_22,9,0.17056
,,00545.332000,A3_23,14,0.15504
,,00545.334320,A3_24,12,0.15792
,,00545.314320,A3_34,20,0.16624
,,00545.342720,A3_32,13,0.2224
,,00545.320000,A3_44,10,0.14928
,,00545.209920,A3_43,29,0.28184
,,00545.310320,A3_42,17,0.20112
,,00545.785920,A6_12,34,0.27488
,,00545.855840,A6_13,20,0.16104
,,00545.846480,A6_11,30,0.2224
,,00545.876640,A6_33,21,0.14968
,,00545.775040,A6_23,11,0.21928
,,00545.867440,A6_34,7,0.13536
,,00545.695440,A6_24,44,0.30896
,,00545.786400,A6_42,29,0.22984
,,00545.776880,A6_43,26,0.28752
,,00545.886880,A6_32,14,0.128
,,00545.781280,A6_44,29,0.24792
,,00545.885520,A6_21,13,0.12328
,,00545.809760,A6_41,36,0.20152
,,00545.870720,A6_31,8,0.12736
,,00545.856800,A6_22,18,0.14432
,,00546.852960,A5_14,14,0.19064
,,00546.913200,A5_12,13,0.1908
,,00546.978000,A5_13,22,0.13848
,,00546.987200,A5_11,8,0.09744
,,00546.950720,A5_23,5,0.05744
,,00546.883040,A5_34,9,0.1592
,,00546.828080,A5_43,37,0.17512
,,00546.961920,A5_32,6,0.06976
,,00546.838400,A5_41,12,0.2368
,,00546.879360,A5_31,5,0.14208
,,00546.748880,A6_14,5,0.21776
,,00546.977680,A5_24,9,0.22712
,,00548.980720,C6_14,14,0.08528
,,00548.934080,C6_12,22,0.15808
,,00548.970160,C6_34,28,0.16264
,,00548.943280,C6_24,15,0.1884
,,00548.959920,C6_43,28,0.16328
,,00549.278160,A6_13,8,0.11552
,,00549.216720,A6_23,6,0.17616
,,00548.986080,C6_13,23,0.17424
,,00548.955520,C6_11,32,0.22624
,,00548.955360,C6_33,46,0.22608
,,00548.973040,C6_23,28,0.18416
,,00548.925600,C6_42,56,0.2456
,,00548.946800,C6_32,54,0.2716
,,00548.940000,C6_44,37,0.22976
,,00548.914000,C6_21,52,0.27176
,,00548.901680,C6_41,59,0.402
,,00548.924400,C6_31,46,0.3156
,,00548.949600,C6_22,24,0.34064
,,00549.259520,A6_12,11,0.19216
,,00549.319120,A6_11,7,0.11328
,,00549.144240,A6_24,32,0.31784
,,00549.174640,A6_42,16,0.252
,,00549.163520,A6_43,19,0.36064
,,00549.280080,A6_44,6,0.14792
,,00549.211520,A6_41,11,0.21208
,,00549.338800,A6_31,5,0.09784
,,00549.624240,A2_41,55,0.25832
,,00549.599360,A2_21,26,0.29888
,,00549.738800,A2_31,13,0.13296
,,00549.652720,A2_23,7,0.12328
,,00549.728160,A2_24,19,0.14048
,,00549.650080,A2_44,47,0.24792
,,00549.682400,A2_11,17,0.23608
,,00549.696320,A2_12,50,0.2084
,,00549.641840,A2_13,40,0.26976
,,00549.645520,A2_22,28,0.25456
,,00549.704560,A2_14,47,0.2572
,,00549.713680,A2_33,29,0.1916
,,00549.670960,A2_34,33,0.28992
,,00549.638480,A2_32,51,0.33912
,,00549.725920,A2_43,30,0.20872
,,00549.725040,A2_42,28,0.24
,,00550.124000,C6_41,13,0.60904
,,00551.427600,A2_44,6,0.19744
,,00551.734320,A2_12,7,0.26616
,,00551.776480,A2_44,7,0.20648
,,00551.895280,C6_42,6,0.19304
,,00551.686240,C6_41,6,0.30592
,,00551.998960,A2_11,9,0.4912
,,00552.652960,C1_41,7,0.15664
,,00552.555360,C1_11,26,0.30552
,,00552.735200,C1_12,11,0.09448
,,00552.706560,C1_22,5,0.12264
,,00552.630000,C1_34,11,0.20312
,,00552.920320,D4_42,7,0.17288
,,00552.877840,D6_14,16,0.20752
,,00552.842000,D6_33,36,0.19984
,,00552.839760,D6_24,23,0.20368
,,00552.777120,D6_43,67,0.36128
,,00552.892560,D6_44,6,0.1652
,,00552.848560,D6_41,20,0.14728
,,00552.836160,D6_31,7,0.10024
,,00552.809520,D6_22,55,0.31696
,,00553.151120,D4_13,6,0.16232
,,00553.164800,D4_11,12,0.11208
,,00553.184320,D4_33,5,0.10448
,,00553.205680,D4_42,13,0.09944
,,00552.928720,D4_32,37,0.39728
,,00553.101040,D4_21,13,0.23408
,,00553.202400,D4_41,10,0.08744
,,00553.178240,D4_31,10,0.08056
,,00552.862160,D6_12,37,0.3112
,,00552.844000,D6_23,49,0.45824
,,00552.784080,D6_21,64,0.5452
,,00554.824640,D6_12,7,0.16136
,,00555.454080,D6_12,6,0.3276
,,00558.209280,C1_11,18,0.28544
,,00558.437360,C1_12,5,0.04944
,,00558.308000,C1_34,6,0.1628
,,00558.534400,D2_41,5,0.06488
,,00558.551760,D2_43,7,0.05056
,,00558.497440,D2_44,5,0.09632
,,00558.528880,D2_42,6,0.05568
,,00558.438880,D6_43,5,0.07272
,,00558.535920,D2_24,7,0.11744
,,00558.507360,C2_41,46,0.27512
,,00558.545280,C2_21,56,0.23536
,,00558.553760,C2_31,42,0.18592
,,00558.572800,C2_11,17,0.24368
,,00558.596720,C2_12,6,0.08712
,,00558.599200,C2_22,15,0.10584
,,00558.586960,C2_23,15,0.27512
,,00558.486960,C2_14,49,0.31568
,,00558.589520,C2_33,15,0.1056
,,00558.612240,C2_24,6,0.08072
,,00558.595600,C2_34,25,0.13272
,,00558.587920,C2_32,20,0.18872
,,00558.568320,C2_43,25,0.2384
,,00558.578400,C2_44,32,0.21312
,,00558.575040,C2_42,30,0.20664
,,00558.705360,D4_42,8,0.24208
,,00558.619440,D4_32,20,0.41184
,,00558.772160,D4_21,6,0.13176
,,00558.765920,D4_41,6,0.1396
,,00558.836720,D6_43,7,0.2988
,,00558.940240,C6_41,5,0.25704
,,00560.222640,D1_21,54,0.37168
,,00560.343120,D1_31,37,0.2076
,,00560.382720,D1_13,23,0.22336
,,00560.408240,D1_22,25,0.15584
,,00560.368800,D1_23,38,0.22056
,,00560.359040,D1_14,23,0.14944
,,00560.417360,D1_33,19,0.11696
,,00560.418240,D1_24,14,0.15064
,,00560.420640,D1_34,35,0.20736
,,00560.403840,D1_32,28,0.17048
,,00560.392800,D1_43,31,0.19536
,,00560.388080,D1_44,32,0.17288
,,00560.429520,D1_42,6,0.06592
,,00560.263120,D1_41,55,0.4156
,,00560.158480,D1_11,61,0.50184
,,00560.183600,D1_12,67,0.56152
,,00561.730320,A4_14,26,0.1568
,,00561.744880,A4_13,9,0.13568
,,00561.653520,A4_11,52,0.23752
,,00561.752320,A4_24,9,0.12728
,,00561.674560,A4_32,18,0.16112
,,00561.677360,A4_22,11,0.15912
,,00561.613600,A6_12,18,0.27256
,,00561.611200,A6_13,10,0.28424
,,00561.684000,A6_11,5,0.13008
,,00561.831440,A6_23,5,0.0484
,,00561.677120,A6_44,8,0.2172
,,00561.687200,A6_41,9,0.2108
,,00561.649040,A6_22,5,0.10672
,,00561.812160,D1_12,6,0.21504
,,00561.734880,A4_12,40,0.33752
,,00561.713920,A4_33,33,0.21536
,,00561.680400,A4_23,55,0.26296
,,00561.755920,A4_34,30,0.21344
,,00561.650080,A4_42,52,0.28728
,,00561.647680,A4_43,63,0.34088
,,00561.693840,A4_44,46,0.2236
,,00561.673120,A4_21,43,0.25976
,,00561.688560,A4_41,47,0.22928
,,00561.649120,A4_31,26,0.27784
,,00561.735280,A6_24,17,0.1796
,,00561.712480,A6_42,14,0.19776
,,00561.659120,A6_43,18,0.29464
,,00562.145680,D1_12,9,0.2484
,,00562.248800,A5_43,18,0.08992
,,00562.528880,D1_12,14,0.48608
,,00563.132240,A4_12,12,0.55192
,,00565.663600,C3_41,13,0.20096
,,00565.587680,C3_21,19,0.2836
,,00565.610000,C3_11,6,0.2136
,,00565.748320,C3_12,13,0.1068
,,00565.643600,C3_14,7,0.20512
,,00565.603360,C3_34,5,0.14312
,,00565.519200,C3_42,32,0.33584
,,00565.536480,B4_11,5,0.1484
,,00565.479600,B4_23,12,0.21904
,,00565.545920,B4_44,7,0.14104
,,00565.527760,B4_21,5,0.1576
,,00565.509360,B4_41,11,0.18384
,,00565.476480,B4_31,7,0.2144
,,00565.497280,B4_22,10,0.25976
,,00565.652160,C3_22,13,0.26776
,,00565.710000,C3_23,8,0.1984
,,00565.809200,C4_12,21,0.24896
,,00565.814320,C4_13,9,0.23088
,,00565.674160,C4_11,40,0.4004
,,00565.884640,C4_23,6,0.1632
,,00565.893280,C4_44,12,0.18192
,,00565.826000,C4_21,22,0.21984
,,00565.859600,C4_41,20,0.2136
,,00566.011200,C4_31,8,0.09712
,,00565.720560,C4_22,17,0.35272
,,00565.701920,C4_24,15,0.4644
,,00566.177680,A5_14,5,0.2152
,,00566.352640,C2_41,12,0.21432
,,00566.472400,C2_23,5,0.10704
,,00566.410800,C2_14,5,0.17976
,,00566.383680,C2_43,11,0.34008
,,00566.389520,A4_12,12,0.39296
,,00566.445440,A4_23,6,0.23112
,,00567.158560,D6_43,9,0.17056
,,00567.142480,D6_22,5,0.158
,,00567.663840,D2_41,13,0.14232
,,00567.668480,D2_31,16,0.12776
,,00567.676720,D2_11,11,0.07752
,,00567.641200,D2_12,13,0.10168
,,00567.683680,D2_22,9,0.08456
,,00567.662720,D2_23,20,0.1096
,,00567.690320,D2_33,5,0.09152
,,00567.635040,D2_24,12,0.08952
,,00567.602880,D2_34,8,0.15864
,,00567.632880,D2_43,24,0.21384
,,00567.592640,D2_44,27,0.16232
,,00567.592880,D2_42,22,0.17864
,,00567.639120,D3_41,14,0.19856
,,00568.053360,A4_21,9,0.2756
,,00568.487360,A4_21,12,0.6096
,,00569.233680,A1_21,10,0.20104
,,00569.239840,A4_21,6,0.32992
,,00569.678800,A4_21,7,0.41376
,,00570.089680,C1_11,18,0.2944
,,00571.496960,C6_41,18,0.15144
,,00571.506240,C6_11,10,0.18288
,,00571.443520,C6_33,11,0.28048
,,00571.494960,C6_21,6,0.21968
,,00571.449120,C6_22,10,0.21608
,,00575.050000,D1_41,8,0.07048
,,00575.007760,D1_21,5,0.1284
,,00575.031680,D1_12,7,0.1224
,,00575.588480,C2_41,15,0.38536
,,00575.673280,C2_14,12,0.2772
,,00575.800240,C2_43,6,0.174
,,00576.334800,B6_14,16,0.13552
,,00576.337760,B6_12,15,0.18864
,,00576.345520,B6_13,25,0.17136
,,00576.321920,B6_11,14,0.1544
,,00576.266080,B6_33,27,0.22136
,,00576.318080,B6_23,31,0.20808
,,00576.343520,B6_34,22,0.12376
,,00576.249600,B6_24,26,0.2568
,,00576.318800,B6_42,35,0.19096
,,00576.233200,B6_43,41,0.29328
,,00576.332320,B6_32,31,0.17928
,,00576.202320,B6_44,41,0.34792
,,00576.195840,B6_21,49,0.30376
,,00576.277040,B6_22,32,0.244
,,00576.158960,B6_41,71,0.49432
,,00576.234640,B6_31,46,0.44944
,,00578.010240,D2_41,7,0.08088
,,00578.003760,D2_31,6,0.08728
,,00578.041120,D2_11,5,0.04392
,,00577.961120,D2_12,13,0.12928
,,00578.047200,D2_22,7,0.06936
,,00578.012400,D2_23,7,0.07304
,,00578.030720,D2_33,6,0.06416
,,00577.970960,D2_24,9,0.10232
,,00577.971120,D2_34,7,0.1212
,,00578.011120,D2_43,9,0.10064
,,00577.844320,D2_44,28,0.2564
,,00577.996320,D2_42,22,0.1152
,,00577.859360,D4_13,7,0.23448
,,00577.948640,D4_11,6,0.18616
,,00577.856000,D4_42,11,0.20656
,,00577.825600,D4_41,7,0.25856
,,00578.128640,A3_41,35,0.18496
,,00578.096320,A3_11,55,0.29784
,,00578.175840,A3_12,23,0.19192
,,00578.073280,A3_22,27,0.24984
,,00578.075280,A3_23,37,0.25312
,,00578.188560,A3_14,7,0.1068
,,00578.211920,A3_33,5,0.1232
,,00578.132400,A3_24,24,0.18192
,,00578.129920,A3_34,31,0.20704
,,00578.010960,A3_32,47,0.31608
,,00578.024960,A3_44,26,0.28464
,,00578.028720,A3_43,37,0.36824
,,00578.088640,A3_42,35,0.2468
,,00577.821600,D4_32,29,0.34912
,,00577.891120,D4_31,9,0.2632
,,00578.030560,A3_31,45,0.4356
,,00578.106640,A3_13,43,0.31816
,,00578.053600,B6_31,11,0.44528
,,00580.342800,A3_43,6,0.15168
,,00580.467520,A3_31,6,0.2464
,,00580.333600,A3_32,21,0.38232
,,00580.618640,A3_43,6,0.10952
,,00580.844480,D2_11,8,0.1468
,,00580.892560,D2_23,7,0.08616
,,00580.863520,D2_24,5,0.1084
,,00580.865760,D2_43,6,0.07568
,,00580.781120,D2_44,15,0.22384
,,00581.113840,A3_32,9,0.19392
,,00581.441040,A3_32,6,0.14384
,,00581.657840,C6_14,14,0.17192
,,00581.614640,C6_12,19,0.15424
,,00581.691920,C6_13,14,0.14944
,,00581.658400,C6_11,29,0.23256
,,00581.630560,C6_33,34,0.18488
,,00581.669760,C6_23,23,0.1416
,,00581.653920,C6_34,23,0.1908
,,00581.632240,C6_24,16,0.24256
,,00581.582480,C6_42,52,0.28288
,,00581.595920,C6_43,32,0.23464
,,00581.645600,C6_44,35,0.2104
,,00581.621360,C6_21,44,0.22432
,,00581.608960,C6_22,22,0.2252
,,00581.628960,C6_32,50,0.34968
,,00581.551520,C6_41,67,0.39544
,,00581.652640,C6_31,43,0.26024
,,00581.745840,A3_32,29,0.57984
,,00582.068800,A3_31,10,0.39032
,,00581.903120,A3_43,14,0.55656
,,00582.446320,A3_32,9,0.21824
,,00582.575520,C6_44,6,0.4212
,,00582.883200,C6_41,12,0.40312
,,00583.752000,A6_11,10,0.14104
,,00583.819520,A6_31,6,0.0788
,,00583.438000,C6_44,5,0.33984
,,00583.697280,A6_12,24,0.2392
,,00583.715840,A6_13,18,0.2068
,,00583.848160,A6_33,5,0.0596
,,00583.784560,A6_24,17,0.16712
,,00583.783840,A6_42,24,0.16664
,,00583.722400,A6_43,17,0.22232
,,00583.712240,A6_44,11,0.20824
,,00583.773280,A6_41,17,0.174
,,00583.743760,A6_22,10,0.1596
,,00584.108640,D4_14,18,0.10592
,,00584.056480,D4_12,33,0.26736
,,00584.058160,D4_13,13,0.24072
,,00584.022480,D4_11,55,0.3228
,,00584.083520,D4_33,57,0.23176
,,00584.143600,D4_23,29,0.18888
,,00584.099520,D4_34,28,0.21096
,,00584.099920,D4_24,45,0.21472
,,00583.995840,D4_42,53,0.32768
,,00584.155120,D4_43,23,0.14944
,,00584.127280,D4_44,37,0.20808
,,00584.081920,D4_21,57,0.2664
,,00584.114880,D4_22,47,0.21456
,,00583.824640,D4_32,82,0.70424
,,00584.086640,D4_41,48,0.314
,,00584.052000,D4_31,74,0.35408
,,00585.221040,A3_41,5,0.13096
,,00585.022640,A3_31,8,0.2668
,,00585.156000,A3_11,16,0.22472
,,00585.013360,A3_32,22,0.25984
,,00584.960080,A3_43,13,0.50296
,,00585.229120,A3_42,5,0.17544
,,00585.764240,D4_14,8,0.30016
,,00585.926880,D4_11,13,0.32456
,,00586.035760,D4_32,7,0.26928
,,00586.531280,A3_43,11,0.29592
,,00586.540320,A3_32,23,0.54384
,,00586.981520,D4_32,11,0.57568
,,00587.651360,C3_42,9,0.1272
,,00587.598720,A3_32,6,0.05536
,,00587.722640,C2_41,50,0.28448
,,00587.747840,C2_21,52,0.24864
,,00587.719040,C2_31,48,0.29624
,,00587.724800,C2_11,18,0.30616
,,00587.840080,C2_22,12,0.13736
,,00587.792400,C2_23,17,0.24032
,,00587.612000,C2_14,49,0.37136
,,00587.815600,C2_33,13,0.0972
,,00587.831440,C2_24,5,0.07448
,,00587.655920,C2_34,22,0.32528
,,00587.784400,C2_32,18,0.1456
,,00587.752640,C2_43,30,0.2968
,,00587.720880,C2_44,32,0.2636
,,00587.772960,C2_42,25,0.16368
,,00587.762640,D4_11,6,0.16552
,,00587.826480,D4_42,5,0.20928
,,00588.078400,A3_32,7,0.13168
,,00588.372960,A3_31,12,0.4384
,,00588.351120,A3_32,31,0.4864
,,00588.952000,A3_32,5,0.0992
,,00589.660000,D6_14,13,0.1684
,,00589.623600,D6_12,33,0.23152
,,00589.620480,D6_33,30,0.19416
,,00589.603040,D6_24,23,0.22904
,,00589.666720,D6_42,6,0.18744
,,00589.687360,D6_44,6,0.05464
,,00589.560640,D6_41,25,0.2444
,,00589.567840,D6_31,12,0.23992
,,00589.608880,D6_23,41,0.40944
,,00589.582720,D6_43,72,0.51208
,,00589.567840,D6_22,54,0.37616
,,00589.561120,D6_21,70,0.72056
,,00590.421280,D2_41,5,0.07704
,,00590.405120,D2_31,7,0.08952
,,00590.439280,D2_11,6,0.03272
,,00590.370160,D2_12,11,0.11816
,,00590.359520,D2_22,8,0.11736
,,00590.407600,D2_23,9,0.06496
,,00590.357920,D2_24,10,0.13904
,,00590.377520,D2_34,7,0.0956
,,00590.322880,D2_43,9,0.16056
,,00590.266080,D2_44,24,0.2356
,,00590.354160,D2_42,14,0.17272
,,00590.634800,D4_11,5,0.12976
,,00590.900480,D6_12,6,0.18144
,,00591.201120,A3_31,9,0.358
,,00591.334240,A3_11,11,0.22528
,,00591.142560,A3_43,11,0.37296
,,00591.196960,A3_32,30,0.4652
,,00592.033760,D3_41,46,0.20536
,,00592.043360,D3_21,31,0.20288
,,00592.033040,D3_31,27,0.20096
,,00592.051440,D3_11,19,0.18952
,,00592.007760,D3_12,48,0.25704
,,00592.050640,D3_13,9,0.13416
,,00592.126480,D3_23,9,0.13784
,,00592.099280,D3_14,5,0.06016
,,00592.096000,D3_33,7,0.07736
,,00592.049200,D3_34,25,0.20976
,,00592.088640,D3_32,21,0.16384
,,00592.047200,D3_43,17,0.17304
,,00592.086640,D3_44,10,0.13616
,,00592.040800,D3_42,20,0.20416
,,00592.541360,D4_13,5,0.26832
,,00592.166640,D4_32,17,0.65864
,,00592.613360,C6_41,5,0.07232
,,00592.486480,C6_22,11,0.29312
,,00592.942080,D4_32,7,0.2024
,,00593.012880,A6_11,7,0.1108
,,00592.974160,A6_12,14,0.23712
,,00592.998480,A6_13,7,0.16264
,,00593.002320,A6_33,6,0.18832
,,00592.995520,A6_23,7,0.196
,,00593.063440,A6_24,22,0.30696
,,00593.055840,A6_42,15,0.22152
,,00593.011440,A6_43,19,0.32608
,,00592.996880,A6_44,7,0.15368
,,00593.018560,A6_41,11,0.25496
,,00593.121600,D4_11,6,0.34392
,,00593.096320,D6_23,7,0.438
,,00593.693120,D4_11,7,0.15664
,,00593.664080,D4_32,14,0.17464
,,00593.638080,A5_12,42,0.20368
,,00593.628960,A5_13,58,0.24864
,,00593.641680,A5_11,38,0.20488
,,00593.492960,A5_34,15,0.26784
,,00593.579040,A5_24,18,0.13968
,,00593.611840,A5_42,46,0.22288
,,00593.519040,A5_43,67,0.34008
,,00593.672720,A5_32,42,0.15352
,,00593.579440,A5_44,25,0.284
,,00593.644640,A5_21,16,0.14592
,,00593.596320,A5_31,27,0.20536
,,00593.668080,A5_22,30,0.21208
,,00593.453760,D5_22,10,0.27488
,,00593.699600,A3_31,7,0.2052
,,00593.852000,A3_11,9,0.14592
,,00593.707680,A3_43,10,0.31744
,,00593.485840,A5_14,55,0.4604
,,00593.646640,A5_33,20,0.3276
,,00593.658000,A5_23,41,0.25048
,,00593.607680,A5_41,66,0.2948
,,00593.690640,A3_32,26,0.49216
,,00593.947200,D6_43,17,0.69864
,,00595.484480,C2_41,8,0.15824
,,00595.307840,A3_31,6,0.32176
,,00595.765440,C2_41,5,0.12984
,,00595.121280,A3_32,25,0.5356
,,00597.202560,A6_12,5,0.18432
,,00597.243040,A6_43,6,0.1692
,,00597.876960,A3_31,12,0.39264
